"store_id","region","stock_level","demand_level"
"S001","West","83977","95597.00000000001"
"S001","South","81519","92821.98999999976"
"S001","East","84541","96282.00000000012"
"S001","North","84835","96548.99999999994"
"S002","East","83960","95628.89000000007"
"S002","North","86200","98268.75000000001"
"S002","South","85121","96635.52000000002"
"S002","West","85175","96523.41999999994"
"S003","East","84306","95295.26000000001"
"S003","North","89112","101560.18000000001"
"S003","South","87002","99108.83999999995"
"S003","West","89413","101133.99999999996"
"S004","South","88373","100248.59000000005"
"S004","East","90154","102547.45999999992"
"S004","West","86329","98107.92999999995"
"S004","North","82153","93373.55999999998"
"S005","East","85501","97396.39000000009"
"S005","North","91214","104100.57999999978"
"S005","West","87416","99374.24999999991"
"S005","South","87281","99198.81000000011"
