"product_id","category","units_sold","price"
"P0096","Toys",134,"40.88"
"P0016","Clothing",127,"90.78"
"P0031","Electronics",48,"13.99"
"P0159","Electronics",74,"84.92"
"P0129","Furniture",66,"19.66"
"P0070","Electronics",59,"78.39"
"P0171","Electronics",59,"57.84"
"P0175","Electronics",88,"18.62"
"P0046","Clothing",117,"64.72"
"P0183","Electronics",86,"40.26"
"P0166","Groceries",123,"40.07"
"P0079","Furniture",100,"43.72"
"P0187","Clothing",75,"16.48"
"P0178","Clothing",70,"62.74"
"P0057","Clothing",115,"63.14"
"P0153","Furniture",119,"12.46"
"P0083","Toys",99,"34.64"
"P0069","Clothing",53,"56.5"
"P0125","Clothing",101,"25.18"
"P0149","Furniture",76,"26.44"
"P0094","Groceries",65,"85.14"
"P0066","Clothing",138,"93.48"
"P0061","Clothing",94,"76.61"
"P0085","Electronics",92,"11.48"
"P0068","Electronics",44,"44.9"
"P0126","Clothing",235,"19.29"
"P0133","Clothing",80,"35.45"
"P0096","Toys",127,"90.27"
"P0031","Electronics",83,"70.35"
"P0159","Electronics",81,"12.51"
"P0116","Furniture",109,"23.27"
"P0070","Electronics",129,"24.29"
"P0171","Electronics",96,"11.77"
"P0175","Electronics",56,"96.99"
"P0046","Clothing",148,"53.99"
"P0166","Groceries",62,"92.47"
"P0079","Furniture",106,"11.15"
"P0178","Clothing",139,"97.47"
"P0057","Clothing",85,"91.53"
"P0083","Toys",51,"61.26"
"P0125","Clothing",126,"96.32"
"P0017","Toys",101,"68.86"
"P0094","Groceries",53,"38.45"
"P0066","Clothing",171,"41.7"
"P0061","Clothing",148,"34.91"
"P0085","Electronics",139,"49.63"
"P0133","Clothing",105,"82.24"
"P0096","Toys",86,"59.64"
"P0031","Electronics",67,"82.95"
"P0129","Furniture",144,"40.66"
"P0116","Furniture",104,"65"
"P0070","Electronics",70,"30.39"
"P0171","Electronics",85,"62.56"
"P0175","Electronics",85,"22.25"
"P0067","Furniture",112,"64.72"
"P0183","Electronics",77,"98.59"
"P0079","Furniture",111,"58.71"
"P0178","Clothing",100,"66.43"
"P0153","Furniture",110,"99.15"
"P0083","Toys",147,"45.13"
"P0069","Clothing",176,"46.02"
"P0125","Clothing",217,"45.3"
"P0017","Toys",65,"89.95"
"P0149","Furniture",86,"78.94"
"P0094","Groceries",176,"81.47"
"P0066","Clothing",158,"41.41"
"P0061","Clothing",158,"90.3"
